name,cores,memory,storage,GPU,linux,windows,linux-low-priority,windows-low-priority,msft-r-server-linux,sql-web,sql-standard,sql-enterprise,biztalk-standard,biztalk-enterprise,oracle-java,redhat-enterprise-linux
A0 Basic,1,0.75,20,N/A,BASIC.A0 VM,BASIC.A0 VM (Windows),,,MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (1 core),Red Hat Enterprise Linux (1 core)
A0 Standard,1,0.75,20,N/A,A0 VM,A0 VM (Windows),,,MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (1 core),Red Hat Enterprise Linux (1 core)
A1 Basic,1,1.75,40,N/A,BASIC.A1 VM,BASIC.A1 VM (Windows),,,MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (1 core),Red Hat Enterprise Linux (1 core)
A1 Standard,1,1.75,70,N/A,A1 VM,A1 VM (Windows),A1 VM Low Priority,A1 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (1 core),Red Hat Enterprise Linux (1 core)
A2 Basic,2,3.50,60,N/A,BASIC.A2 VM,BASIC.A2 VM (Windows),,,MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (2 core),Red Hat Enterprise Linux (2 core)
A2 Standard,2,3.50,135,N/A,A2 VM,A2 VM (Windows),A2 VM Low Priority,A2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (2 core),Red Hat Enterprise Linux (2 core)
A3 Basic,4,7.00,120,N/A,BASIC.A3 VM,BASIC.A3 VM (Windows),,,MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
A3 Standard,4,7.00,285,N/A,A3 VM,A3 VM (Windows),A3 VM Low Priority,A3 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
A4 Basic,8,14.00,240,N/A,BASIC.A4 VM,BASIC.A4 VM (Windows),,,MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
A4,8,14.00,605,N/A,A4 VM,A4 VM (Windows),A4 VM Low Priority,A4 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
